,acc,pre,recall,f1,mcc,auc,ap
mean,0.6818,0.5028,0.5388,0.5173,0.2837,0.6789,0.6522
std,0.008033663,0.013082465,0.077661495,0.030400148,0.02105378,0.016655909,0.010905019
