,acc,pre,recall,f1,mcc,auc,ap
mean,0.9841,0.9902,0.9764,0.9832,0.9682,0.9972,0.9953
std,0.004355955,0.007163986,0.004128141,0.004549937,0.008757507,0.001700578,0.0038
