,acc,pre,recall,f1,mcc,auc,ap
mean,0.686 ,0.534 ,0.4512,0.4892,0.2668,0.6436,0.527 
std,0.006,0.014949916,0.015073155,0.012814055,0.015690762,0.010334409,0.012727922
