,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7268,0.7244,0.8348,0.6958,0.7653,0.8542
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
