,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.5678,0.636,0.7846,0.678,0.7114,0.714
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
