,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.5752,0.5242,0.7704,0.542,0.6088,0.7084
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
