,acc,pre,recall,f1,mcc,auc,ap
mean,0.8056,0.8178,0.7816,0.7992,0.6118,0.8874,0.8666
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346
