,acc,pre,recall,f1,mcc,auc,ap
mean,0.8201,0.8081,0.8361,0.8215,0.5387,0.8894,0.888
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745
