,acc,pre,recall,f1,mcc,auc,ap
mean,0.7855,0.8029,0.7464,0.7733,0.572,0.8551,0.8437
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178
