,acc,pre,recall,f1,mcc,auc,ap
mean,0.7773,0.7881,0.756,0.7707,0.556,0.8524,0.8512
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606
