,acc,pre,recall,f1,mcc,auc,ap
mean,0.829,0.8644,0.7758,0.8176,0.6606,0.9014,0.895
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228
