,acc,pre,recall,f1,mcc,auc,ap
mean,0.9658,0.9784,0.9494,0.9637,0.8887,0.9884,0.9878
std,0.002298913,0.008851836,0.003080909,0.003017946,0.001620802,0.002475884,0.0028
