,acc,pre,recall,f1,mcc,auc,ap
mean,0.9876,0.9908,0.9832,0.987,0.9602,0.9966,0.9946
std,0.00279285,0.00626099,0.00511859,0.00291548,0.0088713,0.00207364,0.00391152
