,acc,pre,recall,f1,mcc,auc,ap
mean,0.97782,0.9869,0.9664,0.97652,0.9264,0.99576,0.99152
std,0.002850789,0.002540079,0.008012615,0.003139745,0.012293616,0.001016366,0.00338
