,acc,pre,recall,f1,mcc,auc,ap
mean,0.9578,0.9928,0.9182,0.9542,0.8488,0.9964,0.9948
std,0.00794984,0.00465833,0.01527089,0.00834865,0.0281016,0.00219089,0.00356371
