,acc,pre,recall,f1,mcc,auc,ap
mean,0.8884,0.9772,0.7848,0.8706,0.634,0.9278,0.9162
std,0.013030733,0.008700575,0.01907092,0.014363147,0.036462309,0.012853015,0.01615
