,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7152,0.7648,0.8338,0.7782,0.7985,0.8222
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
