,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7282,0.6902,0.8374,0.706,0.7628,0.8336
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
