,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7964,0.8128,0.859,0.786,0.8398,0.9102
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
