,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.831,0.8642,0.7768,0.8794,0.8204,0.6646,0.9038,0.9016
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228,
