,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.779,0.7856,0.7625,0.795,0.7735,0.5585,0.8538,0.8558
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606,
