,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7877,0.7777,0.7981,0.7995,0.7884,0.5755,0.8535,0.8369
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178,
