,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.818,0.8065,0.8341,0.8021,0.8194,0.5342,0.8877,0.8863
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745,
