,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8072,0.814,0.7912,0.8234,0.8026,0.6146,0.886,0.8648
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346,
