,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9052,0.9398,0.9512,0.9792,0.982,0.9496
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
