,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9458,0.9886,0.9752,0.9924,0.9894,0.9842
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
