,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9164,0.9528,0.9174,0.941,0.9398,0.9102
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
