,acc,pre,recall,f1,mcc,auc,ap
mean,0.8456,0.7718,0.7645,0.7673,0.6526,0.9061,0.8348
std,0.003072946,0.023640897,0.030893252,0.004441058,0.001891296,0.001016366,0.003171277
