,acc,pre,recall,f1,mcc,auc,ap
mean,0.9154,0.8706,0.876,0.8734,0.8098,0.9638,0.9422
std,0.001140175,0.009396808,0.009848858,0.001516575,0.002167948,0.001095445,0.001707825
