,acc,pre,recall,f1,mcc,auc,ap
mean,0.8465,0.821,0.6907,0.7499,0.558,0.9151,0.8517
std,0.003254689,0.014071354,0.023098636,0.008415165,0.012559538,0.00274627,0.004260516
