,acc,pre,recall,f1,mcc,auc,ap
mean,0.872,0.8005,0.8208,0.8105,0.7141,0.9313,0.9153
std,0.001320228,0.007020047,0.007590226,0.000586219,0.001407848,0.001255057,0.001873021
