,acc,pre,recall,f1,mcc,auc,ap
mean,0.828,0.7404,0.7446,0.7426,0.6134,0.8824,0.8158
std,0.00212132,0.008734987,0.007231874,0.002607681,0.003781534,0.002302173,0.002588436
