,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.6834,0.6776,0.8256,0.7145,0.7965,0.8618
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
