,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.603,0.7138,0.7938,0.7214,0.762,0.8056
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
