,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oyrza
mean,0.7406,0.778,0.8492,0.7265,0.8412,0.9392
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
