,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8398,0.7653,0.7522,0.8841,0.7583,0.6388,0.891,0.8412
std,0.002167948,0.007463243,0.01112205,0.004024922,0.004929503,0.002167948,0.002408319,
