,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7995,0.7148,0.6635,0.8674,0.688,0.5415,0.8431,0.7608
std,0.002557342,0.005667186,0.007168473,0.004140652,0.005693242,0.004248882,0.004361536,
