,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7825,0.6784,0.6677,0.8338,0.6729,0.5102,0.8304,0.8113
std,0.000574482,0.002800287,0.008549764,0.002835587,0.001782625,0.001296392,0.001790413,
