,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8141,0.7531,0.6495,0.895,0.6968,0.4894,0.8587,0.7816
std,0.002661391,0.012550578,0.022081395,0.008572223,0.010363011,0.002024352,0.001700882,
