,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7856,0.6606,0.7346,0.8112,0.6952,0.5326,0.8376,0.7658
std,0.00181659,0.007893035,0.016376813,0.004722288,0.005176872,0.003962323,0.003911521,
