,acc,pre,recall,f1,mcc,auc,ap
mean,0.8468,0.8552,0.6511,0.7389,0.5432,0.8385,0.8148
std,0.006809405,0.018542707,0.027083888,0.014971206,0.020087359,0.007360163,0.009417696
