,acc,pre,recall,f1,mcc,auc,ap
mean,0.8158,0.7462,0.6787,0.7106,0.5776,0.8214,0.7763
std,0.003765236,0.014370525,0.020032049,0.007425295,0.008685448,0.010888618,0.014801588
