,acc,pre,recall,f1,mcc,auc,ap
mean,0.827,0.74,0.7436,0.7417,0.6118,0.879,0.8652
std,0.006504773,0.009985315,0.019117842,0.010958887,0.015186342,0.013144933,0.015824047
