,acc,pre,recall,f1,mcc,auc,ap
mean,0.8502,0.789,0.7516,0.77,0.6596,0.88,0.8456
std,0.005630275,0.006442049,0.013575714,0.009746794,0.012973049,0.009617692,0.00594138
