,acc,pre,recall,f1,mcc,auc,ap
mean,0.7862,0.6484,0.7834,0.7095,0.5115,0.8424,0.8282
std,0.00233302,0.00164073,0.00461823,0.00246232,0.00827514,0.00122352,0.00084439
