,acc,pre,recall,f1,mcc,auc,ap
mean,0.82,0.7544,0.6832,0.7168,0.5868,0.816,0.798
std,0.009137833,0.024643458,0.020278067,0.01267675,0.019057807,0.010271319,0.0101653
