,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7451,0.62,0.6102,0.8125,0.614,0.4248,0.7821,0.6635
std,0.002456624,0.012012369,0.038666329,0.014585095,0.010997181,0.014480746,0.024743343,
