,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.76,0.6413,0.623,0.8163,0.6319,0.4541,0.8081,0.786
std,0.010494724,0.01649425,0.018716316,0.003921098,0.020166185,0.012296623,0.013424775,
