,acc,pre,recall,f1,mcc,auc,ap
mean,0.7304,0.5694,0.7851,0.66,0.4425,0.8151,0.7547
std,0.0059985,0.00476466,0.00910071,0.00621707,0.01944333,0.00135388,0.00175727
