,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7252,0.599,0.5364,0.82,0.5658,0.3674,0.731,0.6198
std,0.013831124,0.034428186,0.044712414,0.030770115,0.03920034,0.01300769,0.022576536,
