,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8128,0.7244,0.7064,0.8654,0.715,0.5758,0.8508,0.778
std,0.007436397,0.024439722,0.022556595,0.017598295,0.020824665,0.010310189,0.013098982,
