,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8038,0.7845,0.6019,0.9105,0.6781,0.4544,0.8301,0.7584
std,0.00354471,0.00155403,0.00638224,0.00342739,0.01336159,0.00251833,0.00154499,
