,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.6134,0.689,0.6914,0.6406,0.6688,0.7792
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
