,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.6246,0.7064,0.7196,0.6279,0.7522,0.8818
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
