,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.716,0.7682,0.7302,0.7702,0.8086,0.852
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
